System check identified some issues:

WARNINGS:
?: (1_8.W001) The standalone TEMPLATE_* settings were deprecated in Django 1.8 and the TEMPLATES dictionary takes precedence. You must put the values of the following settings into your default TEMPLATES dict: TEMPLATE_CONTEXT_PROCESSORS.

System check identified 1 issue (0 silenced).
[29/Nov/2017 12:36:56] "GET /rapido/ HTTP/1.1" 200 6898
[29/Nov/2017 12:36:56] "GET /static/plugins/jvectormap/jquery-jvectormap-1.2.2.min.js HTTP/1.1" 404 7398
[29/Nov/2017 12:36:56] "GET /static/plugins/jvectormap/jquery-jvectormap-world-mill-en.js HTTP/1.1" 404 7398
[29/Nov/2017 12:36:57] "GET /static/plugins/jvectormap/jquery-jvectormap-1.2.2.min.js HTTP/1.1" 404 7398
[29/Nov/2017 12:36:57] "GET /static/plugins/jvectormap/jquery-jvectormap-world-mill-en.js HTTP/1.1" 404 7398
[29/Nov/2017 12:37:23] "GET /rapido/login/ HTTP/1.1" 200 8405
[29/Nov/2017 12:37:25] "GET /rapido/ HTTP/1.1" 200 6898
[29/Nov/2017 12:37:25] "GET /static/plugins/jvectormap/jquery-jvectormap-1.2.2.min.js HTTP/1.1" 404 7398
[29/Nov/2017 12:37:25] "GET /static/plugins/jvectormap/jquery-jvectormap-world-mill-en.js HTTP/1.1" 404 7398
[29/Nov/2017 12:37:25] "GET /static/plugins/jvectormap/jquery-jvectormap-1.2.2.min.js HTTP/1.1" 404 7398
[29/Nov/2017 12:37:25] "GET /static/plugins/jvectormap/jquery-jvectormap-world-mill-en.js HTTP/1.1" 404 7398
[29/Nov/2017 12:37:28] "GET /rapido/login/ HTTP/1.1" 200 8405
[29/Nov/2017 12:37:28] "GET /static/plugins/jvectormap/jquery-jvectormap-1.2.2.min.js HTTP/1.1" 404 7398
[29/Nov/2017 12:37:28] "GET /static/plugins/jvectormap/jquery-jvectormap-world-mill-en.js HTTP/1.1" 404 7398
[29/Nov/2017 12:37:30] "POST /rapido/login/ HTTP/1.1" 302 0
[29/Nov/2017 12:37:30] "GET /rapido/master/ HTTP/1.1" 200 16227
[29/Nov/2017 12:37:40] "GET /rapido/master/ HTTP/1.1" 200 16227
[29/Nov/2017 12:37:43] "GET /rapido/logout/ HTTP/1.1" 302 0
[29/Nov/2017 12:37:43] "GET /rapido/ HTTP/1.1" 200 6898
[29/Nov/2017 12:37:43] "GET /static/plugins/jvectormap/jquery-jvectormap-1.2.2.min.js HTTP/1.1" 404 7398
[29/Nov/2017 12:37:44] "GET /static/plugins/jvectormap/jquery-jvectormap-world-mill-en.js HTTP/1.1" 404 7398
[29/Nov/2017 12:37:44] "GET /static/plugins/jvectormap/jquery-jvectormap-1.2.2.min.js HTTP/1.1" 404 7398
[29/Nov/2017 12:37:44] "GET /static/plugins/jvectormap/jquery-jvectormap-world-mill-en.js HTTP/1.1" 404 7398
[29/Nov/2017 12:37:56] "GET /rapido/ HTTP/1.1" 200 6898
[29/Nov/2017 12:37:56] "GET /static/plugins/jvectormap/jquery-jvectormap-1.2.2.min.js HTTP/1.1" 404 7398
[29/Nov/2017 12:37:56] "GET /static/plugins/jvectormap/jquery-jvectormap-world-mill-en.js HTTP/1.1" 404 7398
[29/Nov/2017 12:45:58] "GET / HTTP/1.1" 404 7398
[29/Nov/2017 12:45:58] "GET /static/bower_components/jvectormap/jquery-jvectormap.css HTTP/1.1" 200 6635
[29/Nov/2017 12:45:58] "GET /static/bower_components/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 31000
[29/Nov/2017 12:45:58] "GET /static/bower_components/Ionicons/css/ionicons.min.css HTTP/1.1" 200 51284
[29/Nov/2017 12:45:58] "GET /static/dist/css/skins/_all-skins.min.css HTTP/1.1" 200 41583
[29/Nov/2017 12:45:58] "GET /static/images/main_logo.png HTTP/1.1" 200 22881
[29/Nov/2017 12:45:58] "GET /static/images/fave-icon.png HTTP/1.1" 200 6663
[29/Nov/2017 12:45:58] "GET /static/bower_components/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 200 121200
[29/Nov/2017 12:45:58] "GET /static/bower_components/jquery/dist/jquery.min.js HTTP/1.1" 200 86659
[29/Nov/2017 12:45:59] "GET /static/dist/css/AdminLTE.min.css HTTP/1.1" 200 106341
[29/Nov/2017 12:45:59] "GET /static/bower_components/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 200 37045
[29/Nov/2017 12:45:59] "GET /static/bower_components/fastclick/lib/fastclick.js HTTP/1.1" 200 25965
[29/Nov/2017 12:45:59] "GET /static/plugins/jvectormap/jquery-jvectormap-world-mill-en.js HTTP/1.1" 404 7398
[29/Nov/2017 12:45:59] "GET /static/dist/js/adminlte.min.js HTTP/1.1" 200 14422
[29/Nov/2017 12:45:59] "GET /static/plugins/jvectormap/jquery-jvectormap-1.2.2.min.js HTTP/1.1" 404 7398
[29/Nov/2017 12:45:59] "GET /static/bower_components/jquery-slimscroll/jquery.slimscroll.min.js HTTP/1.1" 200 4724
[29/Nov/2017 12:45:59] "GET /static/bower_components/jquery-sparkline/dist/jquery.sparkline.min.js HTTP/1.1" 200 62647
[29/Nov/2017 12:45:59] "GET /static/bower_components/datatables.net-bs/js/dataTables.bootstrap.min.js HTTP/1.1" 200 1966
[29/Nov/2017 12:45:59] "GET /static/dist/js/pages/dashboard2.js HTTP/1.1" 200 7419
[29/Nov/2017 12:45:59] "GET /static/dist/js/demo.js HTTP/1.1" 200 17298
[29/Nov/2017 12:45:59] "GET /static/bower_components/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
[29/Nov/2017 12:45:59] "GET /static/plugins/jvectormap/jquery-jvectormap-1.2.2.min.js HTTP/1.1" 404 7398
[29/Nov/2017 12:45:59] "GET /static/bower_components/datatables.net/js/jquery.dataTables.min.js HTTP/1.1" 200 81906
[29/Nov/2017 12:45:59] "GET /static/plugins/jvectormap/jquery-jvectormap-world-mill-en.js HTTP/1.1" 404 7398
[29/Nov/2017 12:46:00] "GET /favicon.ico HTTP/1.1" 404 7398
[29/Nov/2017 12:46:02] "GET /rapido/login/ HTTP/1.1" 200 8405
[29/Nov/2017 12:46:02] "GET /static/plugins/jvectormap/jquery-jvectormap-1.2.2.min.js HTTP/1.1" 404 7398
[29/Nov/2017 12:46:02] "GET /static/bower_components/bootstrap/dist/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
[29/Nov/2017 12:46:02] "GET /static/plugins/jvectormap/jquery-jvectormap-world-mill-en.js HTTP/1.1" 404 7398
[29/Nov/2017 12:46:10] "POST /rapido/login/ HTTP/1.1" 302 0
[29/Nov/2017 12:46:11] "GET /rapido/master/ HTTP/1.1" 200 16227
[29/Nov/2017 12:46:11] "GET /static/dist/css/bootstrap-datetimepicker.min.css HTTP/1.1" 200 7785
[29/Nov/2017 12:46:11] "GET /static/dist/css/jquery.tagsinput.css HTTP/1.1" 200 880
[29/Nov/2017 12:46:11] "GET /static/images/img/user2-160x160.jpg HTTP/1.1" 200 7070
[29/Nov/2017 12:46:11] "GET /static/dist/js/jquery.tagsinput.js HTTP/1.1" 200 12313
[29/Nov/2017 12:46:11] "GET /static/dist/js/state.js HTTP/1.1" 200 18013
[29/Nov/2017 12:46:11] "GET /static/dist/js/jquery.validate.min.js HTTP/1.1" 200 23261
[29/Nov/2017 12:46:11] "GET /static/dist/js/sweetalert.min.js HTTP/1.1" 200 40481
[29/Nov/2017 12:46:11] "GET /static/dist/js/moment.js HTTP/1.1" 200 128945
[29/Nov/2017 12:46:11] "GET /static/dist/js/bootstrap-datetimepicker.js HTTP/1.1" 200 106566
[29/Nov/2017 12:46:13] "GET /rapido/admin_booking_list/ HTTP/1.1" 200 20384
[29/Nov/2017 12:46:15] "GET /rapido/admin_dutyslip_list/ HTTP/1.1" 200 20008
[29/Nov/2017 12:46:16] "GET /rapido/admin_receivetrip_list/ HTTP/1.1" 200 19447
[29/Nov/2017 12:46:17] "GET /rapido/admin_closetrip_list/ HTTP/1.1" 200 18362
[29/Nov/2017 12:46:18] "GET /rapido/admin_invoice_list/ HTTP/1.1" 200 18144
[29/Nov/2017 12:46:19] "GET /rapido/category/ HTTP/1.1" 200 23987
[29/Nov/2017 12:46:22] "GET /rapido/vehicle/ HTTP/1.1" 200 18439
[29/Nov/2017 12:46:23] "GET /rapido/chauffeur/ HTTP/1.1" 200 25342
[29/Nov/2017 12:46:26] "GET /rapido/company_client/ HTTP/1.1" 200 26616
[29/Nov/2017 12:46:48] "GET /rapido/company_client/dsfds HTTP/1.1" 404 8311
[29/Nov/2017 12:46:48] "GET /static/plugins/jvectormap/jquery-jvectormap-1.2.2.min.js HTTP/1.1" 404 8311
[29/Nov/2017 12:46:48] "GET /static/plugins/jvectormap/jquery-jvectormap-world-mill-en.js HTTP/1.1" 404 8311
[29/Nov/2017 12:46:56] "GET /admin HTTP/1.1" 301 0
[29/Nov/2017 12:46:56] "GET /admin/ HTTP/1.1" 200 17221
[29/Nov/2017 12:46:56] "GET /static/admin/css/base.css HTTP/1.1" 200 15897
[29/Nov/2017 12:46:56] "GET /static/admin/css/dashboard.css HTTP/1.1" 200 434
[29/Nov/2017 12:46:56] "GET /static/admin/css/fonts.css HTTP/1.1" 200 423
[29/Nov/2017 12:46:56] "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
[29/Nov/2017 12:46:56] "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
[29/Nov/2017 12:46:57] "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 200 80304
[29/Nov/2017 12:46:57] "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 200 81348
[29/Nov/2017 12:46:57] "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 200 82564
[29/Nov/2017 12:47:00] "GET /admin/logout/ HTTP/1.1" 200 1010
[29/Nov/2017 12:47:06] "GET /admin/logout/ HTTP/1.1" 302 0
[29/Nov/2017 12:47:07] "GET /admin/ HTTP/1.1" 302 0
[29/Nov/2017 12:47:07] "GET /admin/login/?next=/admin/ HTTP/1.1" 200 1679
[29/Nov/2017 12:47:07] "GET /static/admin/css/base.css HTTP/1.1" 200 15897
[29/Nov/2017 12:47:07] "GET /static/admin/css/login.css HTTP/1.1" 200 1203
[29/Nov/2017 12:47:07] "GET /static/admin/css/fonts.css HTTP/1.1" 200 423
[29/Nov/2017 12:47:07] "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 200 80304
[29/Nov/2017 12:47:07] "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 200 81348
[29/Nov/2017 12:47:07] "GET /favicon.ico HTTP/1.1" 404 7398
[29/Nov/2017 12:47:14] "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
[29/Nov/2017 12:47:15] "GET /admin/ HTTP/1.1" 200 17221
[29/Nov/2017 12:47:20] "GET /admin/ HTTP/1.1" 200 17221
